Disease,Symptoms
Kleptomania,"Kleptomania symptoms may include: Inability to resist powerful urges to steal items that you don't need Feeling increased tension, anxiety or arousal leading up to the theft Feeling pleasure, relief or satisfaction while stealing Feeling terrible guilt, remorse, self-loathing, shame or fear of arrest after the theft Return of the urges and a repetition of the kleptomania cycle Features People with kleptomania usually have these features or characteristics: Unlike most shoplifters, people with kleptomania don't compulsively steal for personal gain, on a dare, for revenge or out of rebellion. They steal simply because the urge is so powerful that they can't resist it. Episodes of kleptomania generally happen suddenly, without planning and without help from another person. Most people with kleptomania steal from public places, such as stores. Some may steal from friends or acquaintances, such as at a party. Often, the stolen items have no value to the person with kleptomania, and the person can afford to buy them. The stolen items are usually stashed away, never to be used. Items also may be donated, given away to family or friends, or even secretly returned to the place from which they were stolen. Urges to steal may come and go or may occur with greater or lesser intensity over the course of time. When to see a doctor If you can't stop shoplifting or stealing, seek medical advice. Many people who may have kleptomania don't want to seek treatment because they're afraid they'll be arrested or jailed. However, a mental health provider usually doesn't report your thefts to authorities. Some people seek medical help because they're afraid they'll get caught and have legal problems. Or they've already been arrested, and they're legally required to seek treatment. If a loved one has kleptomania If you suspect a close friend or family member may have kleptomania, gently raise your concerns with that person. Keep in mind that kleptomania is a mental health disorder, not a character flaw, so approach the person without judgment or blame. It may be helpful to emphasize these points: You're concerned because you care about the person's health and well-being. You're worried about the risks of compulsive stealing, such as being arrested, losing a job or damaging a valued relationship. You understand that, with kleptomania, the urge to steal may be too strong to resist just by ""putting your mind to it."" Treatments are available that may help to minimize the urge to steal and live without addiction and shame. If you need help preparing for this conversation, talk with your health care provider. Your provider may refer you to a mental health professional who can help you plan a way of raising your concerns without making your friend or relative feel defensive or threatened. Request an appointment"
Compulsive sexual behavior,"Some signs that you may have compulsive sexual behavior include: You have repeated and intense sexual fantasies, urges, and behaviors that take up a lot of your time and feel as if they're beyond your control. You feel driven or have frequent urges to do certain sexual behaviors, feel a release of the tension afterward, but also feel guilt or deep regret. You've tried without success to reduce or control your sexual fantasies, urges or behavior. You use compulsive sexual behavior as an escape from other problems, such as loneliness, depression, anxiety or stress. You continue to engage in sexual behaviors in spite of them causing serious problems. These could include the possibility of getting or giving someone else a sexually transmitted infection, the loss of important relationships, trouble at work, financial issues, or legal problems. You have trouble making and keeping healthy and stable relationships. When to see a doctor Ask for help if you feel you've lost control of your sexual behavior, especially if your behavior causes problems for you or other people. Compulsive sexual behavior tends to get worse over time without treatment, so get help when you first notice a problem. As you decide whether to seek professional help, ask yourself: Can I manage my sexual impulses? Am I distressed by my sexual behaviors? Is my sexual behavior hurting my relationships, affecting my work or causing serious problems, such as getting arrested? Do I try to hide my sexual behavior? Getting help for compulsive sexual behavior can be difficult because it's such a deeply personal and private matter. Try to: Set aside any shame or embarrassment and focus on the benefits of getting treatment. Remember that you're not alone — many people struggle with compulsive sexual behavior. Mental health professionals are trained to be understanding and not judge people. But not all mental health providers are experienced in treating this condition. Look for a provider who has experience in diagnosing and treating compulsive sexual behavior. Keep in mind that what you say to a health care or mental health provider is private. But providers are required to make a report if you tell them that you're going to hurt yourself or someone else. They also are required to report if you give information about sexual abuse of a child or abuse or neglect of someone who is vulnerable, such as an elderly or disabled person. Ask for help right away Ask a health care provider for help right away if: You think you may hurt yourself or others because of uncontrolled sexual behavior. You feel like your sexual behavior is slipping out of control. You're thinking of taking your own life. In the U.S., call or text 988 to reach the 988 Suicide & Crisis Lifeline , available 24 hours a day, every day. Or use the Lifeline Chat . Services are free and confidential. There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Hoarding disorder,"The first symptoms of hoarding disorder often appear during the teenage to early adult years. You may get and save too many items, gradually build up clutter in living spaces, and have difficulty getting rid of things. As you grow older, you may continue getting and holding onto things that you may never use and don't have space for. By middle age, the clutter can become overwhelming as symptoms become more severe and increasingly difficult to treat. Problems with hoarding gradually develop over time and tend to be a private behavior. You may avoid having family, friends or repair workers in your home. Often, major clutter has developed by the time it reaches the attention of others. Symptoms of hoarding disorder may include: Getting and keeping too many items that you may not have a need for right now and don't have space for. Ongoing difficulty throwing out or parting with your things, regardless of their actual value. Feeling a need to save these items and being upset by the thought of getting rid of them. Building up clutter to the point where you can't use rooms. Trying to be perfect and avoiding or delaying decisions. Problems with planning and organizing. Getting too many items and refusing to part with them results in: Disorganized piles or stacks of items, such as newspapers, clothes, paperwork, books or sentimental items. Items that crowd and clutter your walking spaces and living areas. Rooms can't be used for the intended purpose, such as not being able to sleep in your bed. Buildup of food or trash to large, unsanitary levels. Distress or problems functioning or keeping yourself, others and pets safe in your home. Conflict with others who try to reduce or remove clutter from your home. Relationship issues, avoiding social activities and employment problems. Difficulty organizing items and sometimes losing important items in the clutter. With hoarding disorder, items are usually saved because: You believe these items are unique or that you'll need them at some point in the future. You feel emotionally connected to items that remind you of happier times or represent beloved people or pets. You feel safe and comforted when surrounded by things. You don't want to waste anything. Hoarding disorder is different from collecting. People who have collections, such as stamps or model cars, carefully search out specific items, organize them and display their collections. Collections can be large, but they aren't usually cluttered. Also, they don't cause the distress and problems functioning that are part of hoarding disorder. Hoarding animals People who hoard animals may collect dozens or even hundreds of pets. Animals may be confined inside or outside. Because of the large numbers, these animals often aren't cared for properly. The health and safety of the person and the animals are often at risk because of unsanitary conditions. When to see a doctor If you or a loved one has symptoms of hoarding disorder, talk with a health care provider or a mental health provider with expertise in diagnosing and treating hoarding disorder as soon as possible. Some communities have agencies that help with hoarding problems. Check with the local or county government for resources in your area. As hard as it might be, if your loved one's hoarding disorder threatens health or safety, you may need to contact local authorities, such as police, fire, public health, child or elder protective services, or animal welfare agencies. Request an appointment"
Complicated grief,"During the first few months after a loss, many signs and symptoms of normal grief are the same as those of complicated grief. However, while normal grief symptoms gradually start to fade over time, those of complicated grief linger or get worse. Complicated grief is like being in an ongoing, heightened state of mourning that keeps you from healing. Signs and symptoms of complicated grief may include: Intense sorrow, pain and rumination over the loss of your loved one Focus on little else but your loved one's death Extreme focus on reminders of the loved one or excessive avoidance of reminders Intense and persistent longing or pining for the deceased Problems accepting the death Numbness or detachment Bitterness about your loss Feeling that life holds no meaning or purpose Lack of trust in others Inability to enjoy life or think back on positive experiences with your loved one Complicated grief also may be indicated if you continue to: Have trouble carrying out normal routines Isolate from others and withdraw from social activities Experience depression, deep sadness, guilt or self-blame Believe that you did something wrong or could have prevented the death Feel life isn't worth living without your loved one Wish you had died along with your loved one When to see a doctor Contact your doctor or a mental health professional if you have intense grief and problems functioning that don't improve at least one year after the passing of your loved one. If you have thoughts of suicide At times, people with complicated grief may consider suicide. If you're thinking about suicide, talk to someone you trust. If you think you may act on suicidal feelings, call 911 or your local emergency services number right away. Or contact a suicide hotline. In the U.S., call or text 988 to reach the 988 Suicide & Crisis Lifeline , available 24 hours a day, seven days a week. Or use the Lifeline Chat . Services are free and confidential. Request an appointment"
Complex regional pain syndrome,
Common warts,"Common warts symptoms include: Small, fleshy, grainy bumps on the fingers or hands. Feeling rough to the touch. A sprinkling of black dots, which are clotted blood vessels. When to see a doctor See a healthcare professional for common warts if: The growths hurt, bleed, burn or itch. You've tried treating the warts, but they persist, spread or come back. The growths are bothersome or interfere with activities. You're unsure whether the growths are warts. You have many warts. You have a weak immune system. Warts show up on the face, feet or genitals. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Common variable immunodeficiency,"How bad symptoms are varies greatly between people with CVID . Symptoms of common variable immunodeficiency may appear during childhood or the teen years. But many people don't get symptoms until they're adults. If you have CVID , you'll likely have repeated infections before being diagnosed. The most common types of infections include pneumonia, sinusitis, ear infections and gastrointestinal infections."
Common cold in babies,
Coma,"The symptoms of a coma commonly include: Closed eyes. Depressed brainstem reflexes, such as pupils not responding to light. No responses of limbs except for reflex movements. No response to painful stimuli except for reflex movements. Irregular breathing. When to see a doctor A coma is a medical emergency. Seek immediate medical care for the person in a coma."
Colon polyps,"Most people with colon polyps do not have any symptoms. Colon polyps are often found as a part of routine colorectal cancer screening. Symptoms that should prompt an appointment with a healthcare professional include: Change in bowel habits. Constipation or diarrhea that lasts longer than a week may mean the presence of a larger colon polyp or cancer. However, several other conditions also can cause changes in bowel habits. Change in stool color. Blood can show up as red streaks in the stool or make stool appear black. A change in color also may be caused by certain foods, medicines or dietary supplements. Iron deficiency anemia. Bleeding from polyps can happen slowly over time, without visible blood in the stool. Chronic bleeding may lead to iron deficiency anemia, which can cause tiredness and shortness of breath. Pain. A large colon polyp or cancer can block part of the bowel, leading to cramping and belly pain. Rectal bleeding. This can be a sign of colon polyps or cancer or other conditions, such as hemorrhoids or minor tears of the anus. When to see a doctor See a healthcare professional if you experience: Belly pain. Blood in the stool. A change in bowel habits that lasts longer than a week. Losing weight without trying. You should be screened regularly for colorectal cancer if: You're age 45 or older. You may need to start screening sooner than age 45 depending upon your medical conditions and family history. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. Get the latest health information from Mayo Clinic delivered to your inbox. Subscribe for free and receive your in-depth guide to
                            digestive health, plus the latest on health innovations and news. You can unsubscribe at any
                            time. Click here for an email preview. Email address Error Email field is required Error Include a valid email address Address 1 Subscribe Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Thank you for subscribing Your in-depth digestive health guide will be in your inbox shortly. You will also receive
                                emails from Mayo Clinic on the latest health news, research, and care. If you don’t receive our email within 5 minutes, check your SPAM folder, then contact us
                                at newsletters@mayoclinic.com . Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Pneumothorax,"The main symptoms of a pneumothorax are sudden chest pain and shortness of breath. Severity of symptoms may depend on how much of the lung is collapsed. When to see a doctor Symptoms of a pneumothorax can be caused by a variety of health problems, and some can be life-threatening, so seek medical attention. If your chest pain is severe or breathing becomes increasingly difficult, get immediate emergency care. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Ulcerative colitis,"Ulcerative colitis symptoms can vary, depending on how serious the inflammation is and where it happens. Symptoms may include: Diarrhea, often with blood or pus. Rectal bleeding — passing a small amount of blood with stool. Belly pain and cramping. Rectal pain. Urgency to pass stool. Not being able to pass stool despite urgency. Weight loss. Fatigue. Fever. In children, failure to grow. About half of the people with ulcerative colitis have mild to moderate symptoms. The course of ulcerative colitis may vary, with some people having long periods of remission. Types Healthcare professionals often classify ulcerative colitis according to its location. Types of ulcerative colitis include: Ulcerative proctitis. Inflammation is confined to the area closest to the anus, called the rectum. Rectal bleeding that sometimes happens with difficulty having bowel movements may be the only sign of the disease. Left-sided colitis. Inflammation extends from the rectum up through the sigmoid and descending colon. Proctosigmoiditis is a type of left-sided colitis. Inflammation involves the rectum and sigmoid colon — the lower end of the colon. Symptoms include bloody diarrhea, belly cramps and pain, and not being able to move the bowels despite the urge to do so, called tenesmus. Widespread colitis. This is sometimes called pancolitis. This type often affects the entire colon and causes bouts of bloody diarrhea that may be severe, belly cramps and pain, fatigue, and significant weight loss. When to see a doctor See a healthcare professional if you notice a lasting change in your bowel habits or if you have symptoms such as: Belly pain. Blood in the stool. Ongoing diarrhea that doesn't respond to nonprescription medicines. Diarrhea that awakens you from sleep. An unexplained fever lasting more than a day or two. Although ulcerative colitis usually isn't fatal, it's a serious disease that, in some cases, may cause life-threatening complications. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. Get the latest health information from Mayo Clinic delivered to your inbox. Subscribe for free and receive your in-depth guide to
                            digestive health, plus the latest on health innovations and news. You can unsubscribe at any
                            time. Click here for an email preview. Email address Error Email field is required Error Include a valid email address Address 1 Subscribe Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Thank you for subscribing Your in-depth digestive health guide will be in your inbox shortly. You will also receive
                                emails from Mayo Clinic on the latest health news, research, and care. If you don’t receive our email within 5 minutes, check your SPAM folder, then contact us
                                at newsletters@mayoclinic.com . Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Microscopic colitis,"Symptoms of microscopic colitis include: Watery diarrhea. Belly pain, cramps or bloating. Weight loss. Nausea. Not being able to control bowel movements, called fecal incontinence. The body not having enough water, called dehydration. The symptoms of microscopic colitis can come and go. At times, symptoms improve on their own. When to see a doctor If you have watery diarrhea that lasts more than a few days, contact your healthcare professional to diagnose and treat your condition. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. Get the latest health information from Mayo Clinic delivered to your inbox. Subscribe for free and receive your in-depth guide to
                            digestive health, plus the latest on health innovations and news. You can unsubscribe at any
                            time. Click here for an email preview. Email address Error Email field is required Error Include a valid email address Address 1 Subscribe Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Thank you for subscribing Your in-depth digestive health guide will be in your inbox shortly. You will also receive
                                emails from Mayo Clinic on the latest health news, research, and care. If you don’t receive our email within 5 minutes, check your SPAM folder, then contact us
                                at newsletters@mayoclinic.com . Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Ischemic colitis,"Symptoms of ischemic colitis can include: Pain, tenderness or cramping in the belly, which can happen suddenly or happen over time. Bright red or maroon blood in the stool or, at times, passage of blood alone without stool. A feeling of urgency to move the bowels. Diarrhea. Nausea. The risk of serious complications is higher when symptoms happen on the right side of the belly. This is less commonly seen compared with left-sided colitis. People with right-sided colitis tend to have more underlying medical conditions, such as high blood pressure, atrial fibrillation and kidney disease. They more often have to undergo surgery and also have a higher risk of death. When to see a doctor Seek immediate medical care if you have sudden, severe pain in your belly area. Pain that makes you so uncomfortable that you can't sit still or find a comfortable position is a medical emergency. Contact a healthcare professional if you have symptoms that worry you, such as bloody diarrhea. Early diagnosis and treatment can help prevent serious complications. Request an appointment"
Colic,
Common cold,"Most often, common cold symptoms start 1 to 3 days after someone is exposed to a cold virus. Symptoms vary. They can include: Runny or stuffy nose. Sore or scratchy throat. Cough. Sneezing. Generally feeling unwell. Slight body aches or a mild headache. Low-grade fever. The mucus from your nose may start out clear and become thicker and yellow or green. This change is normal. Most often, it doesn't mean that you have a bacterial illness. When to see a doctor For adults. Most often, you don't need medical care for a common cold. But see your health care provider if you have: Symptoms that get worse or do not get better. Fever greater than 101.3 degrees Fahrenheit (38.5 degrees Celsius) that lasts more than three days. Fever returning after a fever-free period. Shortness of breath. Wheezing. Intense sore throat, headache or sinus pain. For children. Most children with a common cold don't need to see a health care provider. Get medical care right away if your child has any of the following: Fever of 100.4 degrees Fahrenheit (38 degrees Celsius) in newborns up to 12 weeks. Rising fever or fever lasting more than two days in a child of any age. More-intense symptoms, such as headache, throat pain or cough. Trouble with breathing or wheezing. Ear pain. Fussiness or drowsiness that isn't typical. No interest in eating. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Cold sore,"A cold sore usually passes through several stages: Tingling and itching. Many people feel itching, burning or tingling around the lips for a day or so before a small, hard, painful spot appears and blisters form. Blisters. Small fluid-filled blisters often form along the border of the lips. Sometimes they appear around the nose or cheeks or inside the mouth. Oozing and crusting. The small blisters may merge and then burst. This can leave shallow open sores that ooze and crust over. Symptoms vary, depending on whether this is your first outbreak or a recurrence. The first time you have a cold sore, symptoms may not start for up to 20 days after you were first exposed to the virus. The sores can last several days. And the blisters can take 2 to 3 weeks to heal completely. If blisters return, they'll often appear at the same spot each time and tend to be less severe than the first outbreak. In a first-time outbreak, you also might experience: Fever. Painful gums. Sore throat. Headache. Muscle aches. Swollen lymph nodes. Children under 5 years old may have cold sores inside their mouths. These sores are often mistaken for canker sores. Canker sores involve only the mucous membrane and aren't caused by the herpes simplex virus. When to see a doctor Cold sores generally clear up without treatment. See your health care provider if: You have a weak immune system. The cold sores don't heal within two weeks. Symptoms are severe. The cold sores often return. You have gritty or painful eyes. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Hypothermia,"When the temperature starts to drop, the body can start to shiver. Shivering is the body's attempt to warm itself. It is an automatic defense against cold temperature. Symptoms of hypothermia include: Shivering. Slurred speech or mumbling. Slow, shallow breathing. Weak pulse. Clumsiness or lack of coordination. Drowsiness or very low energy. Confusion or memory loss. Loss of consciousness. In infants, bright red, cold skin. People with hypothermia usually aren't aware of their condition. The symptoms often begin gradually. Also, the confused thinking associated with hypothermia prevents self-awareness. The confused thinking also can lead to risk-taking behavior. When to see a doctor Call 911 or your local emergency number if you suspect someone has hypothermia. While waiting for emergency help to arrive, gently move the person inside if possible. Jarring movements can trigger dangerous irregular heartbeats. Carefully remove any wet clothing and replace it with warm, dry coats or blankets. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Cold urticaria,
Valley fever,
Cluster headache,"Common symptoms Cluster headache Enlarge image Close Cluster headache Cluster headache Cluster headaches usually come close together in a group. Possible symptoms include severe pain in or around one eye or on one side of the head. There may be tears and a stuffy and runny nose on the side of the head that hurts. A cluster headache strikes quickly. There's usually no warning. But some people might first have migraine-like nausea and aura. Common symptoms during a cluster headache include: Extreme sharp or stabbing pain, usually in, behind or around one eye. The pain can spread to other areas of the face, head and neck. Pain on one side of the head in a single cluster. Pain can switch to the other side in another cluster. Restlessness. A lot of tears. Redness of the eye on the side that hurts. Stuffy or runny nose on the side that hurts. Forehead or facial sweating. Skin color changes on the side of the face that hurts. Swelling around the eye on the side that hurts. Drooping eyelid on the side that hurts. Because the pain of a cluster headache can be so bad, those who have one are likely to pace or sit and rock back and forth. Cluster periods A cluster period usually lasts for several weeks to months. Each cluster period may start at about the same time of year and last about the same length of time. For example, cluster periods can come during certain seasons, such as every spring or every fall. For most people with cluster headaches, the cluster period lasts from one week to a year. Then there's a pain-free period, known as remission, for three months or longer before the next cluster headache comes. This is known as episodic cluster headache. Cluster periods might go on for more than a year. Pain-free periods might last less than one month. If a cluster period lasts a year without letup, it's called chronic cluster headache. During a cluster period: Headaches usually come every day, often several times a day. A single attack can last from 15 minutes to three hours, but more often lasts 30 to 45 minutes. The attacks often occur at the same time each day. Most attacks occur at night, usually 1 to 2 hours after bedtime. The pain usually ends as suddenly as it begins. After attacks, most people are pain-free but exhausted. When to see a doctor See a health care provider if you've just started to have cluster headaches. Your provider can rule out other illnesses and suggest treatment. Even bad headache pain isn't usually the result of another disease. But headaches can sometimes mean a serious medical condition. This can include a brain tumor or tear of a weakened blood vessel, known as a dissection. Also, if you have a history of headaches, see your health care provider if there's a change in how they feel or how often they occur. Seek emergency care if you have any of these symptoms: A severe headache that comes on all of a sudden, often like a clap of thunder. A headache with a fever, nausea or vomiting, a stiff neck, confusion, seizures, numbness, or trouble speaking. These might point to a stroke, meningitis, encephalitis, a brain tumor or other problems. A headache after a head injury, especially if it gets worse — even if the injury was a minor fall or bump. A sudden, severe headache unlike any other. A headache that worsens over days and changes in pattern. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Clubfoot,"If your child has clubfoot, here's what it might look like: The top of the foot is usually pointed in and down. This raises the arch and turns the heel inward. The foot may be turned so severely that it looks like it is upside down. The foot or big toe may be slightly shorter than the other foot. The calf muscles in the leg with clubfoot are usually smaller. At birth, clubfoot doesn't cause any discomfort or pain. When to see a doctor Your healthcare professional is likely to notice clubfoot during an exam soon after your child is born. You may be referred to a doctor who specializes in bone and muscle conditions in children called a pediatric orthopedic surgeon. Request an appointment"
Depression (major depressive disorder),"Although depression may occur only once during your life, people typically have multiple episodes. During these episodes, symptoms occur most of the day, nearly every day and may include: Feelings of sadness, tearfulness, emptiness or hopelessness Angry outbursts, irritability or frustration, even over small matters Loss of interest or pleasure in most or all normal activities, such as sex, hobbies or sports Sleep disturbances, including insomnia or sleeping too much Tiredness and lack of energy, so even small tasks take extra effort Reduced appetite and weight loss or increased cravings for food and weight gain Anxiety, agitation or restlessness Slowed thinking, speaking or body movements Feelings of worthlessness or guilt, fixating on past failures or self-blame Trouble thinking, concentrating, making decisions and remembering things Frequent or recurrent thoughts of death, suicidal thoughts, suicide attempts or suicide Unexplained physical problems, such as back pain or headaches For many people with depression, symptoms usually are severe enough to cause noticeable problems in day-to-day activities, such as work, school, social activities or relationships with others. Some people may feel generally miserable or unhappy without really knowing why. Depression symptoms in children and teens Common signs and symptoms of depression in children and teenagers are similar to those of adults, but there can be some differences. In younger children, symptoms of depression may include sadness, irritability, clinginess, worry, aches and pains, refusing to go to school, or being underweight. In teens, symptoms may include sadness, irritability, feeling negative and worthless, anger, poor performance or poor attendance at school, feeling misunderstood and extremely sensitive, using recreational drugs or alcohol, eating or sleeping too much, self-harm, loss of interest in normal activities, and avoidance of social interaction. Depression symptoms in older adults Depression is not a normal part of growing older, and it should never be taken lightly. Unfortunately, depression often goes undiagnosed and untreated in older adults, and they may feel reluctant to seek help. Symptoms of depression may be different or less obvious in older adults, such as: Memory difficulties or personality changes Physical aches or pain Fatigue, loss of appetite, sleep problems or loss of interest in sex — not caused by a medical condition or medication Often wanting to stay at home, rather than going out to socialize or doing new things Suicidal thinking or feelings, especially in older men When to see a doctor If you feel depressed, make an appointment to see your doctor or mental health professional as soon as you can. If you're reluctant to seek treatment, talk to a friend or loved one, any health care professional, a faith leader, or someone else you trust. When to get emergency help If you think you may hurt yourself or attempt suicide, call 911 in the U.S. or your local emergency number immediately. Also consider these options if you're having suicidal thoughts: Call your doctor or mental health professional. Contact a suicide hotline. In the U.S., call or text 988 to reach the 988 Suicide & Crisis Lifeline, available 24 hours a day, seven days a week. Or use the Lifeline Chat . Services are free and confidential. U.S. veterans or service members who are in crisis can call 988 and then press “1” for the Veterans Crisis Line . Or text 838255. Or chat online . The Suicide & Crisis Lifeline in the U.S. has a Spanish language phone line at 1-888-628-9454 (toll-free). Reach out to a close friend or loved one. Contact a minister, spiritual leader or someone else in your faith community. If you have a loved one who is in danger of suicide or has made a suicide attempt, make sure someone stays with that person. Call 911 or your local emergency number immediately. Or, if you think you can do so safely, take the person to the nearest hospital emergency room. More Information Depression (major depressive disorder) care at Mayo Clinic Male depression: Understanding the issues Nervous breakdown: What does it mean? Pain and depression: Is there a link? Show more related information Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
